name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Ustilaginoidea virens	1159556	species	37158136	116095	47938	0.0
Zygotorulaspora	1196389	genus	0	154	0	0.0
Aspergillus puulaauensis	1220207	species	34318862	18530	10145	0
Kwoniella europaea	1247712	species	22833461	43	0	0.0
Kwoniella botswanensis	1268659	species	23007246	17629	9042	0.0
Cryptococcus depauperatus CBS 7841	1295531	strain	16179376	5128	2268	0.0
Kwoniella dendrophila CBS 6074	1295534	strain	23026020	46049	14833	0.0
Kwoniella bestiolae CBS 10118	1296100	strain	24551665	32534	18545	0.0
Cryptococcus bacillisporus CA1280	1296109	strain	17825526	54357	39622	0.0
Kwoniella dejecticola CBS 10117	1296121	strain	23932770	22729	15712	0.0
Rhizoctonia	1322061	genus	0	5896	0	0.0
Kwoniella europaea PYCC6329	1423913	strain	22833461	15217	8699	0.0
Malasseziomycetes	1538075	class	0	12802	0	0.0
Kwoniella shandongensis	1734106	species	21305292	49893	39974	0.0
Trichosporonaceae	1759442	family	0	1681	0	0.0
Lodderomyces beijingensis	1775926	species	15114296	117435	81200	0.0
Cutaneotrichosporon	1838142	genus	0	5464	0	0.0
Vanrija	1851468	genus	0	5677	0	0.0
Trichosporonales	1851469	order	0	3099	0	0.0
Cryptococcus decagattii	1859122	species	17768546	17699	4703	0.0
Cryptococcaceae	1884633	family	21391469	11890	0	0.0
Thermothelomyces	1920207	genus	38744216	1107	0	0.0
Malassezia vespertilionis	2020962	species	7595203	7708	1682	0.0
Purpureocillium takamizusanense	2060973	species	35574015	67689	30958	0.0
Yamadazyma tenuis	2315449	species	10858197	30354	10776	0.0
Schizosaccharomyces osmophilus	2545709	species	11416521	19961	8726	0.0
Thermothielavioides terrestris	2587410	species	36912256	1747	105	0.0
Thermothielavioides	2609811	genus	36912256	459	0	0.0
Mycosphaerellales	2726947	order	0	8099	0	0.0
Fulvia	2897311	genus	0	500	0	0.0
